species,habitat,taxonomic.class,tissue,diet.type,source.iso.13C,source.iso.15N,delta13C,delta15N
Rattus_norvegicus,terrestrial,mammalia,liver,herbivore,-25.3,4.8,3.1,1.2
Rattus_norvegicus,terrestrial,mammalia,liver,carnivore,-16.2,12.3,3.1,0.6
Rattus_norvegicus,terrestrial,mammalia,liver,omnivore,-24.5,7.1,1.5,3.2
Rattus_norvegicus,terrestrial,mammalia,liver,omnivore,-16.7,7.4,2.2,3
Rattus_norvegicus,terrestrial,mammalia,blood,herbivore,-25.3,4.8,1.5,3.6
Rattus_norvegicus,terrestrial,mammalia,blood,carnivore,-16.2,12.3,0.7,3.7
Rattus_norvegicus,terrestrial,mammalia,blood,omnivore,-24.5,7.1,2.6,3.8
Rattus_norvegicus,terrestrial,mammalia,blood,omnivore,-16.7,7.4,1.2,3.6
Rattus_norvegicus,terrestrial,mammalia,kidney,herbivore,-25.3,4.8,1.4,2.5
Rattus_norvegicus,terrestrial,mammalia,kidney,carnivore,-16.2,12.3,0.8,3.1
Rattus_norvegicus,terrestrial,mammalia,kidney,omnivore,-24.5,7.1,2.4,2.7
Rattus_norvegicus,terrestrial,mammalia,kidney,omnivore,-16.7,7.4,1.3,2.2
Rattus_norvegicus,terrestrial,mammalia,blood,herbivore,-25.3,4.8,1.3,2
Rattus_norvegicus,terrestrial,mammalia,blood,carnivore,-16.2,12.3,0.7,3
Rattus_norvegicus,terrestrial,mammalia,blood,omnivore,-24.5,7.1,2.5,2.4
Rattus_norvegicus,terrestrial,mammalia,blood,omnivore,-16.7,7.4,0.6,2.2
Rattus_norvegicus,terrestrial,mammalia,muscle,herbivore,-25.3,4.8,1.7,2.3
Rattus_norvegicus,terrestrial,mammalia,muscle,carnivore,-16.2,12.3,1.2,3.1
Rattus_norvegicus,terrestrial,mammalia,muscle,omnivore,-24.5,7.1,2.8,2.7
Rattus_norvegicus,terrestrial,mammalia,muscle,omnivore,-16.7,7.4,1.5,2.3
Rattus_norvegicus,terrestrial,mammalia,hair,herbivore,-25.3,4.8,3.4,2.4
Rattus_norvegicus,terrestrial,mammalia,hair,carnivore,-16.2,12.3,2.1,3.9
Rattus_norvegicus,terrestrial,mammalia,hair,omnivore,-24.5,7.1,4.1,2.8
Rattus_norvegicus,terrestrial,mammalia,hair,omnivore,-16.7,7.4,2.3,2.9
Gymnogyps_californianus,terrestrial,aves,blood,carnivore,-21.9,7.5,0.9,3.3
Gymnogyps_californianus,terrestrial,aves,blood,carnivore,-21.9,7.5,0.3,1.8
Gymnogyps_californianus,terrestrial,aves,blood,carnivore,-21.9,7.5,0.3,1.9
Gymnogyps_californianus,terrestrial,aves,blood,carnivore,-21.9,7.4,0.9,3.3
Gymnogyps_californianus,terrestrial,aves,blood,carnivore,-21.9,7.4,0.3,1.8
Gymnogyps_californianus,terrestrial,aves,blood,carnivore,-21.9,7.4,0.3,1.9
Enhydra_lutris,marine,mammalia,hair,carnivore,-17.8,10,2.8,5.5
Enhydra_lutris,marine,mammalia,hair,carnivore,,,2.4,4.9
Homo_sapiens,terrestrial,mammalia,blood,omnivore,,4.8,NA,3.3
Ovis_aries,terrestrial,mammalia,blood,herbivore,-22.4,,5,NA
