species	habitat	taxonomic.class	tissue	diet.type	source.iso.13C	source.iso.15N	delta13C	delta15N	citation
Rattus_norvegicus	terrestrial	mammalia	liver	herbivore	-25.3	4.8	3.1	1.2	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	liver	carnivore	-16.2	12.3	3.1	0.6	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	liver	omnivore	-24.5	7.1	1.5	3.2	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	liver	omnivore	-16.7	7.4	2.2	3	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	blood	herbivore	-25.3	4.8	1.5	3.6	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	blood	carnivore	-16.2	12.3	0.7	3.7	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	blood	omnivore	-24.5	7.1	2.6	3.8	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	blood	omnivore	-16.7	7.4	1.2	3.6	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	kidney	herbivore	-25.3	4.8	1.4	2.5	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	kidney	carnivore	-16.2	12.3	0.8	3.1	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	kidney	omnivore	-24.5	7.1	2.4	2.7	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	kidney	omnivore	-16.7	7.4	1.3	2.2	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	blood	herbivore	-25.3	4.8	1.3	2	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	blood	carnivore	-16.2	12.3	0.7	3	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	blood	omnivore	-24.5	7.1	2.5	2.4	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	blood	omnivore	-16.7	7.4	0.6	2.2	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	muscle	herbivore	-25.3	4.8	1.7	2.3	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	muscle	carnivore	-16.2	12.3	1.2	3.1	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	muscle	omnivore	-24.5	7.1	2.8	2.7	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	muscle	omnivore	-16.7	7.4	1.5	2.3	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	hair	herbivore	-25.3	4.8	3.4	2.4	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	hair	carnivore	-16.2	12.3	2.1	3.9	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	hair	omnivore	-24.5	7.1	4.1	2.8	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Rattus_norvegicus	terrestrial	mammalia	hair	omnivore	-16.7	7.4	2.3	2.9	"Kurle, C. M., Koch, P. L., Tershy, B. R., and Croll, D. A. (2014). The effects of sex, tissue type, and dietary components on stable isotope discrimination factors (_13C and _15N) in mammalian omnivores. Isotopes in Environmental and Health Studies Vol. 50 , Iss. 3"
Gymnogyps_californianus	terrestrial	aves	blood	carnivore	-21.9	7.5	0.9	3.3	"Kurle, C. M., Finkelstein, M. E., Smith, K. R., George, D., Ciani, D., Koch, P. L., and Smith. D. R. (2013). Discrimination Factors for Stable Isotopes of Carbon and Nitrogen in Blood and Feathers from Chicks and Juveniles of the California Condor. The Condor 115 (3), 492-500"
Gymnogyps_californianus	terrestrial	aves	blood	carnivore	-21.9	7.5	0.3	1.8	"Kurle, C. M., Finkelstein, M. E., Smith, K. R., George, D., Ciani, D., Koch, P. L., and Smith. D. R. (2013). Discrimination Factors for Stable Isotopes of Carbon and Nitrogen in Blood and Feathers from Chicks and Juveniles of the California Condor. The Condor 115 (3), 492-500"
Gymnogyps_californianus	terrestrial	aves	blood	carnivore	-21.9	7.5	0.3	1.9	"Kurle, C. M., Finkelstein, M. E., Smith, K. R., George, D., Ciani, D., Koch, P. L., and Smith. D. R. (2013). Discrimination Factors for Stable Isotopes of Carbon and Nitrogen in Blood and Feathers from Chicks and Juveniles of the California Condor. The Condor 115 (3), 492-500"
Gymnogyps_californianus	terrestrial	aves	blood	carnivore	-21.9	7.4	0.9	3.3	"Kurle, C. M., Finkelstein, M. E., Smith, K. R., George, D., Ciani, D., Koch, P. L., and Smith. D. R. (2013). Discrimination Factors for Stable Isotopes of Carbon and Nitrogen in Blood and Feathers from Chicks and Juveniles of the California Condor. The Condor 115 (3), 492-500"
Gymnogyps_californianus	terrestrial	aves	blood	carnivore	-21.9	7.4	0.3	1.8	"Kurle, C. M., Finkelstein, M. E., Smith, K. R., George, D., Ciani, D., Koch, P. L., and Smith. D. R. (2013). Discrimination Factors for Stable Isotopes of Carbon and Nitrogen in Blood and Feathers from Chicks and Juveniles of the California Condor. The Condor 115 (3), 492-500"
Gymnogyps_californianus	terrestrial	aves	blood	carnivore	-21.9	7.4	0.3	1.9	"Kurle, C. M., Finkelstein, M. E., Smith, K. R., George, D., Ciani, D., Koch, P. L., and Smith. D. R. (2013). Discrimination Factors for Stable Isotopes of Carbon and Nitrogen in Blood and Feathers from Chicks and Juveniles of the California Condor. The Condor 115 (3), 492-500"
Enhydra_lutris	marine	mammalia	hair	carnivore	-17.8	10	2.8	5.5	"Tyrrell, L, P., Newsome, S. D., Fogel, M, L., Viens, M., Bowden, R., Murray M, J (2013) Vibrissae growth rates and trophic discrimination factors in captive southern sea otters (Enhydra lutris nereis). J Mammal. 94 (2), 331-338. doi: 10.1644/12-MAMM-A-035.1"
Enhydra_lutris	marine	mammalia	hair	carnivore	NA	NA	2.4	4.9	"Tyrrell, L, P., Newsome, S. D., Fogel, M, L., Viens, M., Bowden, R., Murray M, J (2013) Vibrissae growth rates and trophic discrimination factors in captive southern sea otters (Enhydra lutris nereis). J Mammal. 94 (2), 331-338. doi: 10.1644/12-MAMM-A-035.1"
Homo_sapiens	terrestrial	mammalia	blood	omnivore	NA	4.8	NA	3.3	" O' Connell, T., Kneale, C., Tasevska, N., Kuhnle, G (2012) The diet-body offset in human nitrogen isotopic values: A controlled dietary study. American Journal of Physical Anthropology. 149(3),:426-434. doi:10.1002/ajpa.22140"
Ovis_aries	terrestrial	mammalia	blood	herbivore	-22.4	NA	5	NA	"Cheng, L., Nicol, A. M., Dewhurst, R. J., and Edwards, G, R. (2013) The effects of dietary nitrogen to water-soluble carbohydrate ratio on isotopic fractionation and partitioning of nitrogen in non-lactating sheep. Animal, 7:8, 1274_1279 doi:10.1017/S175173111300031"
Bubo_scandiaca	terrestrial	aves	blood	carnivore	-19.6	7.8	0.3	1.9	"Therrien, J. F., Fitzgerald, G., Gauthier, G., & Bêty, J. (2011). Diet–tissue discrimination factors of carbon and nitrogen stable isotopes in blood of Snowy Owl (Bubo scandiacus). Canadian Journal of Zoology, 89(4), 343-347."
Phoca_vitulina	marine	mammalia	blood	carnivore	-19.5	12.5	1.5	3.8	"Germain, L. R., McCarthy, M. D., Koch, P. L. and Harvey, J. T. (2012), Stable carbon and nitrogen isotopes in multiple tissues of wild and captive harbor seals (Phoca vitulina) off the California coast. Marine Mammal Science, 28: 542_560. doi:10.1111/j.1748-7692.2011.00516.x"
Peromyscus_leucopus	terrestrial	mammalia	liver	pellet	-19.7	2.8	-0.5	4.5	"DeMots, R. L., Novak, J. M., Gaines, K. F., Gregor, A. J., Romanek, C. S., & Soluk, D. A. (2010). Tissue–diet discrimination factors and turnover of stable carbon and nitrogen isotopes in white-footed mice (Peromyscus leucopus). Canadian Journal of Zoology, 88(10), 961-967."
Peromyscus_leucopus	terrestrial	mammalia	muscle	pellet	-19.7	2.8	-0.7	3.2	"DeMots, R. L., Novak, J. M., Gaines, K. F., Gregor, A. J., Romanek, C. S., & Soluk, D. A. (2010). Tissue–diet discrimination factors and turnover of stable carbon and nitrogen isotopes in white-footed mice (Peromyscus leucopus). Canadian Journal of Zoology, 88(10), 961-967."
